 

stn;time;rre150h0
ZELUWE;2023111012;-
ZELUWE;2023111013;0.0
ZELUWE;2023111014;0.0
ZELUWE;2023111015;0.0
ZELUWE;2023111016;0.0
ZELUWE;2023111017;0.0
ZELUWE;2023111018;0.0
ZELUWE;2023111019;0.0
ZELUWE;2023111020;0.0
ZELUWE;2023111021;0.0
ZELUWE;2023111022;0.0
ZELUWE;2023111023;0.0
ZELUWE;2023111100;0.0
ZELUWE;2023111101;0.0
ZELUWE;2023111102;0.0
ZELUWE;2023111103;0.0
ZELUWE;2023111104;0.0
ZELUWE;2023111105;0.0
ZELUWE;2023111106;0.0
ZELUWE;2023111107;0.0
ZELUWE;2023111108;0.3
ZELUWE;2023111109;0.0
ZELUWE;2023111110;0.0
ZELUWE;2023111111;0.0
ZELUWE;2023111112;0.1
ZELUWE;2023111113;0.1
ZELUWE;2023111114;0.7
ZELUWE;2023111115;0.4
ZELUWE;2023111116;0.1
ZELUWE;2023111117;0.1
ZELUWE;2023111118;0.0
ZELUWE;2023111119;0.0
ZELUWE;2023111120;0.0
ZELUWE;2023111121;0.0
ZELUWE;2023111122;0.0
ZELUWE;2023111123;0.0
ZELUWE;2023111200;0.0
ZELUWE;2023111201;0.0
ZELUWE;2023111202;0.0
ZELUWE;2023111203;0.0
ZELUWE;2023111204;0.0
ZELUWE;2023111205;0.0
ZELUWE;2023111206;0.5
ZELUWE;2023111207;0.5
ZELUWE;2023111208;0.7
ZELUWE;2023111209;3.1
ZELUWE;2023111210;2.9
ZELUWE;2023111211;0.3
ZELUWE;2023111212;0.1
ZELUWE;2023111213;0.8
ZELUWE;2023111214;0.7
ZELUWE;2023111215;0.0
ZELUWE;2023111216;0.1
ZELUWE;2023111217;0.0
ZELUWE;2023111218;0.0
ZELUWE;2023111219;0.0
ZELUWE;2023111220;0.0
ZELUWE;2023111221;0.0
ZELUWE;2023111222;0.0
ZELUWE;2023111223;0.1
ZELUWE;2023111300;0.0
ZELUWE;2023111301;0.1
ZELUWE;2023111302;0.0
ZELUWE;2023111303;0.0
ZELUWE;2023111304;0.0
ZELUWE;2023111305;0.2
ZELUWE;2023111306;0.0
ZELUWE;2023111307;0.4
ZELUWE;2023111308;0.2
ZELUWE;2023111309;0.0
ZELUWE;2023111310;-
ZELUWE;2023111311;-
ZELUWE;2023111312;0.0
ZELUWE;2023111313;0.0
ZELUWE;2023111314;0.1
ZELUWE;2023111315;0.0
ZELUWE;2023111316;0.0
ZELUWE;2023111317;0.6
ZELUWE;2023111318;0.0
ZELUWE;2023111319;0.2
ZELUWE;2023111320;0.1
ZELUWE;2023111321;0.0
ZELUWE;2023111322;0.0
ZELUWE;2023111323;0.0
ZELUWE;2023111400;0.1
ZELUWE;2023111401;0.0
ZELUWE;2023111402;0.0
ZELUWE;2023111403;0.0
ZELUWE;2023111404;0.5
ZELUWE;2023111405;0.1
ZELUWE;2023111406;5.9
ZELUWE;2023111407;5.2
ZELUWE;2023111408;4.6
ZELUWE;2023111409;0.3
ZELUWE;2023111410;0.0
ZELUWE;2023111411;1.6
ZELUWE;2023111412;2.6
ZELUWE;2023111413;2.8
ZELUWE;2023111414;3.4
ZELUWE;2023111415;3.8
ZELUWE;2023111416;6.2
ZELUWE;2023111417;3.9
ZELUWE;2023111418;2.8
ZELUWE;2023111419;3.0
ZELUWE;2023111420;1.5
ZELUWE;2023111421;0.5
ZELUWE;2023111422;0.6
ZELUWE;2023111423;0.0
ZELUWE;2023111500;0.2
ZELUWE;2023111501;-
ZELUWE;2023111502;-
ZELUWE;2023111503;-
ZELUWE;2023111504;-
ZELUWE;2023111505;-
ZELUWE;2023111506;-
ZELUWE;2023111507;-
ZELUWE;2023111508;0.0
ZELUWE;2023111509;0.0
ZELUWE;2023111510;0.0
ZELUWE;2023111511;0.0
ZELUWE;2023111512;0.0
ZELUWE;2023111513;0.0
ZELUWE;2023111514;0.0
ZELUWE;2023111515;0.1
ZELUWE;2023111516;0.0
ZELUWE;2023111517;0.0
ZELUWE;2023111518;0.0
ZELUWE;2023111519;0.0
ZELUWE;2023111520;0.0
ZELUWE;2023111521;0.0
ZELUWE;2023111522;0.0
ZELUWE;2023111523;0.0
ZELUWE;2023111600;0.0
ZELUWE;2023111601;0.0
ZELUWE;2023111602;0.0
ZELUWE;2023111603;0.0
ZELUWE;2023111604;0.0
ZELUWE;2023111605;0.0
ZELUWE;2023111606;0.0
ZELUWE;2023111607;0.0
ZELUWE;2023111608;0.0
ZELUWE;2023111609;0.0
ZELUWE;2023111610;0.0
ZELUWE;2023111611;0.0
ZELUWE;2023111612;0.1
ZELUWE;2023111613;0.1
ZELUWE;2023111614;0.0
ZELUWE;2023111615;0.0
ZELUWE;2023111616;0.0
ZELUWE;2023111617;0.0
ZELUWE;2023111618;0.0
ZELUWE;2023111619;0.0
ZELUWE;2023111620;0.0
ZELUWE;2023111621;0.0
ZELUWE;2023111622;0.0
ZELUWE;2023111623;0.0
ZELUWE;2023111700;0.0
ZELUWE;2023111701;0.0
ZELUWE;2023111702;0.0
ZELUWE;2023111703;0.0
ZELUWE;2023111704;0.0
ZELUWE;2023111705;0.3
ZELUWE;2023111706;0.3
ZELUWE;2023111707;0.1
ZELUWE;2023111708;0.0
ZELUWE;2023111709;0.0
ZELUWE;2023111710;0.0
ZELUWE;2023111711;0.3
ZELUWE;2023111712;0.1
ZELUWE;2023111713;0.3
ZELUWE;2023111714;0.1
ZELUWE;2023111715;-
ZELUWE;2023111716;0.0
ZELUWE;2023111717;0.0
ZELUWE;2023111718;0.2
ZELUWE;2023111719;1.1
ZELUWE;2023111720;0.6
ZELUWE;2023111721;0.0
ZELUWE;2023111722;0.2
ZELUWE;2023111723;0.2
ZELUWE;2023111800;0.0
ZELUWE;2023111801;0.0
ZELUWE;2023111802;0.0
ZELUWE;2023111803;0.0
ZELUWE;2023111804;0.0
ZELUWE;2023111805;0.0
ZELUWE;2023111806;0.0
ZELUWE;2023111807;0.0
ZELUWE;2023111808;0.0
ZELUWE;2023111809;0.0
ZELUWE;2023111810;0.0
ZELUWE;2023111811;0.0
ZELUWE;2023111812;0.0
ZELUWE;2023111813;0.0
ZELUWE;2023111814;0.2
ZELUWE;2023111815;0.2
ZELUWE;2023111816;0.0
ZELUWE;2023111817;0.2
ZELUWE;2023111818;0.6
ZELUWE;2023111819;1.4
ZELUWE;2023111820;1.8
ZELUWE;2023111821;2.2
ZELUWE;2023111822;0.6
ZELUWE;2023111823;0.1
ZELUWE;2023111900;0.1
ZELUWE;2023111901;0.0
ZELUWE;2023111902;0.0
ZELUWE;2023111903;0.0
ZELUWE;2023111904;0.8
ZELUWE;2023111905;1.3
ZELUWE;2023111906;0.7
ZELUWE;2023111907;1.5
ZELUWE;2023111908;0.6
ZELUWE;2023111909;0.0
ZELUWE;2023111910;0.0
ZELUWE;2023111911;0.1
ZELUWE;2023111912;0.0
ZELUWE;2023111913;0.0
ZELUWE;2023111914;0.0
ZELUWE;2023111915;0.0
ZELUWE;2023111916;0.0
ZELUWE;2023111917;0.0
ZELUWE;2023111918;0.0
ZELUWE;2023111919;0.0
ZELUWE;2023111920;0.0
ZELUWE;2023111921;0.0
ZELUWE;2023111922;0.0
ZELUWE;2023111923;0.0
ZELUWE;2023112000;0.0
ZELUWE;2023112001;0.0
ZELUWE;2023112002;0.0
ZELUWE;2023112003;0.0
ZELUWE;2023112004;0.0
ZELUWE;2023112005;0.0
ZELUWE;2023112006;0.0
ZELUWE;2023112007;0.0
ZELUWE;2023112008;0.0
ZELUWE;2023112009;0.0
ZELUWE;2023112010;0.0
ZELUWE;2023112011;0.0
ZELUWE;2023112012;0.0
ZELUWE;2023112013;0.0
ZELUWE;2023112014;0.0
ZELUWE;2023112015;0.0
