 

stn;time;rre150h0
ZELULB;2022123100;0.0
ZELULB;2022123101;0.0
ZELULB;2022123102;0.0
ZELULB;2022123103;0.0
ZELULB;2022123104;0.0
ZELULB;2022123105;0.0
ZELULB;2022123106;0.0
ZELULB;2022123107;0.0
ZELULB;2022123108;0.0
ZELULB;2022123109;0.0
ZELULB;2022123110;0.0
ZELULB;2022123111;0.0
ZELULB;2022123112;0.0
ZELULB;2022123113;0.0
ZELULB;2022123114;0.0
ZELULB;2022123115;0.0
ZELULB;2022123116;0.0
ZELULB;2022123117;0.0
ZELULB;2022123118;0.0
ZELULB;2022123119;0.0
ZELULB;2022123120;0.0
ZELULB;2022123121;0.0
ZELULB;2022123122;0.0
ZELULB;2022123123;0.0
ZELULB;2023010100;0.0
ZELULB;2023010101;0.0
ZELULB;2023010102;0.0
ZELULB;2023010103;0.0
ZELULB;2023010104;0.0
ZELULB;2023010105;0.0
ZELULB;2023010106;0.0
ZELULB;2023010107;0.0
ZELULB;2023010108;0.0
ZELULB;2023010109;0.0
ZELULB;2023010110;0.0
ZELULB;2023010111;0.0
ZELULB;2023010112;0.0
ZELULB;2023010113;0.0
ZELULB;2023010114;0.0
ZELULB;2023010115;0.0
ZELULB;2023010116;0.0
ZELULB;2023010117;0.0
ZELULB;2023010118;0.0
ZELULB;2023010119;0.0
ZELULB;2023010120;0.0
ZELULB;2023010121;0.0
ZELULB;2023010122;0.0
ZELULB;2023010123;0.0
ZELULB;2023010200;0.0
ZELULB;2023010201;0.0
ZELULB;2023010202;0.0
ZELULB;2023010203;0.0
ZELULB;2023010204;0.0
ZELULB;2023010205;0.0
ZELULB;2023010206;0.0
ZELULB;2023010207;0.0
ZELULB;2023010208;0.0
ZELULB;2023010209;-
ZELULB;2023010210;-
ZELULB;2023010211;0.0
ZELULB;2023010212;0.0
ZELULB;2023010213;0.0
ZELULB;2023010214;0.0
ZELULB;2023010215;0.0
ZELULB;2023010216;0.0
ZELULB;2023010217;0.0
ZELULB;2023010218;0.0
ZELULB;2023010219;0.0
ZELULB;2023010220;0.0
ZELULB;2023010221;0.0
ZELULB;2023010222;0.0
ZELULB;2023010223;0.2
ZELULB;2023010300;0.2
ZELULB;2023010301;0.1
ZELULB;2023010302;0.0
ZELULB;2023010303;0.0
ZELULB;2023010304;0.1
ZELULB;2023010305;0.1
ZELULB;2023010306;0.2
ZELULB;2023010307;0.1
ZELULB;2023010308;0.1
ZELULB;2023010309;0.1
ZELULB;2023010310;0.1
ZELULB;2023010311;0.2
ZELULB;2023010312;0.3
ZELULB;2023010313;0.2
ZELULB;2023010314;0.1
ZELULB;2023010315;0.0
ZELULB;2023010316;0.0
ZELULB;2023010317;0.0
ZELULB;2023010318;0.0
ZELULB;2023010319;0.0
ZELULB;2023010320;0.0
ZELULB;2023010321;0.0
ZELULB;2023010322;0.0
ZELULB;2023010323;0.0
ZELULB;2023010400;0.0
ZELULB;2023010401;0.0
ZELULB;2023010402;0.0
ZELULB;2023010403;0.0
ZELULB;2023010404;0.0
ZELULB;2023010405;0.0
ZELULB;2023010406;0.0
ZELULB;2023010407;0.0
ZELULB;2023010408;0.0
ZELULB;2023010409;0.0
ZELULB;2023010410;0.0
ZELULB;2023010411;0.0
ZELULB;2023010412;0.0
ZELULB;2023010413;0.0
ZELULB;2023010414;0.0
ZELULB;2023010415;0.0
ZELULB;2023010416;0.0
ZELULB;2023010417;0.0
ZELULB;2023010418;0.0
ZELULB;2023010419;0.0
ZELULB;2023010420;0.0
ZELULB;2023010421;0.0
ZELULB;2023010422;0.0
ZELULB;2023010423;0.0
ZELULB;2023010500;0.1
ZELULB;2023010501;0.0
ZELULB;2023010502;0.0
ZELULB;2023010503;0.1
ZELULB;2023010504;0.1
ZELULB;2023010505;0.3
ZELULB;2023010506;0.2
ZELULB;2023010507;0.0
ZELULB;2023010508;0.0
ZELULB;2023010509;0.0
ZELULB;2023010510;0.0
ZELULB;2023010511;0.0
ZELULB;2023010512;0.0
ZELULB;2023010513;0.0
ZELULB;2023010514;0.0
ZELULB;2023010515;0.0
ZELULB;2023010516;0.0
ZELULB;2023010517;0.0
ZELULB;2023010518;0.0
ZELULB;2023010519;0.0
ZELULB;2023010520;0.0
ZELULB;2023010521;0.0
ZELULB;2023010522;0.0
ZELULB;2023010523;0.0
ZELULB;2023010600;0.0
ZELULB;2023010601;0.0
ZELULB;2023010602;0.0
ZELULB;2023010603;0.0
ZELULB;2023010604;0.0
ZELULB;2023010605;0.0
ZELULB;2023010606;0.0
ZELULB;2023010607;0.0
ZELULB;2023010608;0.0
ZELULB;2023010609;0.0
ZELULB;2023010610;0.0
ZELULB;2023010611;0.0
ZELULB;2023010612;0.0
ZELULB;2023010613;0.0
ZELULB;2023010614;0.0
ZELULB;2023010615;0.0
ZELULB;2023010616;0.0
ZELULB;2023010617;0.0
ZELULB;2023010618;0.0
ZELULB;2023010619;0.0
ZELULB;2023010620;0.0
ZELULB;2023010621;0.0
ZELULB;2023010622;0.0
ZELULB;2023010623;0.0
ZELULB;2023010700;0.0
ZELULB;2023010701;0.0
ZELULB;2023010702;0.0
ZELULB;2023010703;0.0
ZELULB;2023010704;0.0
ZELULB;2023010705;0.0
ZELULB;2023010706;0.0
ZELULB;2023010707;0.0
ZELULB;2023010708;0.0
ZELULB;2023010709;0.0
ZELULB;2023010710;0.0
ZELULB;2023010711;0.0
ZELULB;2023010712;0.0
ZELULB;2023010713;0.0
ZELULB;2023010714;0.0
ZELULB;2023010715;0.0
ZELULB;2023010716;0.0
ZELULB;2023010717;0.0
ZELULB;2023010718;0.0
ZELULB;2023010719;0.0
ZELULB;2023010720;0.0
ZELULB;2023010721;0.0
ZELULB;2023010722;0.0
ZELULB;2023010723;0.0
ZELULB;2023010800;0.0
ZELULB;2023010801;0.0
ZELULB;2023010802;0.0
ZELULB;2023010803;0.0
ZELULB;2023010804;0.0
ZELULB;2023010805;0.0
ZELULB;2023010806;0.0
ZELULB;2023010807;0.0
ZELULB;2023010808;0.0
ZELULB;2023010809;0.1
ZELULB;2023010810;0.1
ZELULB;2023010811;0.1
ZELULB;2023010812;0.1
ZELULB;2023010813;0.0
ZELULB;2023010814;0.2
ZELULB;2023010815;0.0
ZELULB;2023010816;0.0
ZELULB;2023010817;0.3
ZELULB;2023010818;0.4
ZELULB;2023010819;0.6
ZELULB;2023010820;0.6
ZELULB;2023010821;0.4
ZELULB;2023010822;1.2
ZELULB;2023010823;0.4
ZELULB;2023010900;0.3
ZELULB;2023010901;0.1
ZELULB;2023010902;0.4
ZELULB;2023010903;1.0
ZELULB;2023010904;0.5
ZELULB;2023010905;0.1
ZELULB;2023010906;0.1
ZELULB;2023010907;0.0
ZELULB;2023010908;0.0
ZELULB;2023010909;0.0
ZELULB;2023010910;0.0
ZELULB;2023010911;0.0
ZELULB;2023010912;0.0
ZELULB;2023010913;0.0
ZELULB;2023010914;0.0
ZELULB;2023010915;0.3
ZELULB;2023010916;0.0
ZELULB;2023010917;0.0
ZELULB;2023010918;0.0
ZELULB;2023010919;0.1
ZELULB;2023010920;0.0
ZELULB;2023010921;0.0
ZELULB;2023010922;0.0
ZELULB;2023010923;0.0
ZELULB;2023011000;0.0
ZELULB;2023011001;0.2
ZELULB;2023011002;0.1
ZELULB;2023011003;0.0
ZELULB;2023011004;0.0
ZELULB;2023011005;0.0
ZELULB;2023011006;0.0
ZELULB;2023011007;0.0
ZELULB;2023011008;0.0
ZELULB;2023011009;0.0
ZELULB;2023011010;0.0
ZELULB;2023011011;0.0
ZELULB;2023011012;0.0
ZELULB;2023011013;0.0
ZELULB;2023011014;0.0
ZELULB;2023011015;0.0
ZELULB;2023011016;0.0
ZELULB;2023011017;0.0
ZELULB;2023011018;0.0
ZELULB;2023011019;0.0
ZELULB;2023011020;0.0
ZELULB;2023011021;0.0
ZELULB;2023011022;0.0
ZELULB;2023011023;0.0
ZELULB;2023011100;0.0
ZELULB;2023011101;0.0
ZELULB;2023011102;0.0
ZELULB;2023011103;0.0
ZELULB;2023011104;0.0
ZELULB;2023011105;0.0
ZELULB;2023011106;0.0
ZELULB;2023011107;0.0
ZELULB;2023011108;0.0
ZELULB;2023011109;0.0
ZELULB;2023011110;0.0
ZELULB;2023011111;0.0
ZELULB;2023011112;0.1
ZELULB;2023011113;0.4
ZELULB;2023011114;0.3
ZELULB;2023011115;0.1
ZELULB;2023011116;0.1
ZELULB;2023011117;0.3
ZELULB;2023011118;0.0
ZELULB;2023011119;0.0
ZELULB;2023011120;0.1
ZELULB;2023011121;0.0
ZELULB;2023011122;0.0
ZELULB;2023011123;0.0
ZELULB;2023011200;0.0
ZELULB;2023011201;0.0
ZELULB;2023011202;0.0
ZELULB;2023011203;0.0
ZELULB;2023011204;0.0
ZELULB;2023011205;0.0
ZELULB;2023011206;0.0
ZELULB;2023011207;0.0
ZELULB;2023011208;0.0
ZELULB;2023011209;0.0
ZELULB;2023011210;0.0
ZELULB;2023011211;0.0
ZELULB;2023011212;0.0
ZELULB;2023011213;0.0
ZELULB;2023011214;0.0
ZELULB;2023011215;0.0
ZELULB;2023011216;0.0
ZELULB;2023011217;0.0
ZELULB;2023011218;0.0
ZELULB;2023011219;0.0
ZELULB;2023011220;0.0
ZELULB;2023011221;0.0
ZELULB;2023011222;0.0
ZELULB;2023011223;0.0
ZELULB;2023011300;0.0
ZELULB;2023011301;0.0
ZELULB;2023011302;0.0
