 

stn;time;rre150h0
ZELUGI;2021120401;0.3
ZELUGI;2021120402;0.2
ZELUGI;2021120403;0.1
ZELUGI;2021120404;0.2
ZELUGI;2021120405;0.1
ZELUGI;2021120406;0.1
ZELUGI;2021120407;0.0
ZELUGI;2021120408;0.0
ZELUGI;2021120409;0.1
ZELUGI;2021120410;0.1
ZELUGI;2021120411;0.2
ZELUGI;2021120412;0.1
ZELUGI;2021120413;0.8
ZELUGI;2021120414;0.5
ZELUGI;2021120415;0.0
ZELUGI;2021120416;0.0
ZELUGI;2021120417;0.0
ZELUGI;2021120418;0.3
ZELUGI;2021120419;0.0
ZELUGI;2021120420;0.6
ZELUGI;2021120421;1.0
ZELUGI;2021120422;0.1
ZELUGI;2021120423;0.0
ZELUGI;2021120500;0.0
ZELUGI;2021120501;0.0
ZELUGI;2021120502;0.0
ZELUGI;2021120503;0.0
ZELUGI;2021120504;0.0
ZELUGI;2021120505;0.0
ZELUGI;2021120506;0.0
ZELUGI;2021120507;0.0
ZELUGI;2021120508;0.0
ZELUGI;2021120509;0.0
ZELUGI;2021120510;0.0
ZELUGI;2021120511;0.0
ZELUGI;2021120512;0.0
ZELUGI;2021120513;0.1
ZELUGI;2021120514;0.0
ZELUGI;2021120515;0.0
ZELUGI;2021120516;0.0
ZELUGI;2021120517;0.0
ZELUGI;2021120518;0.0
ZELUGI;2021120519;0.0
ZELUGI;2021120520;0.0
ZELUGI;2021120521;0.0
ZELUGI;2021120522;0.0
ZELUGI;2021120523;0.0
ZELUGI;2021120600;0.0
ZELUGI;2021120601;0.0
ZELUGI;2021120602;0.0
ZELUGI;2021120603;0.3
ZELUGI;2021120604;0.0
ZELUGI;2021120605;0.0
ZELUGI;2021120606;0.1
ZELUGI;2021120607;0.0
ZELUGI;2021120608;0.0
ZELUGI;2021120609;0.0
ZELUGI;2021120610;0.0
ZELUGI;2021120611;0.0
ZELUGI;2021120612;0.0
ZELUGI;2021120613;0.0
ZELUGI;2021120614;0.0
ZELUGI;2021120615;0.0
ZELUGI;2021120616;0.0
ZELUGI;2021120617;0.0
ZELUGI;2021120618;0.0
ZELUGI;2021120619;0.0
ZELUGI;2021120620;0.0
ZELUGI;2021120621;0.0
ZELUGI;2021120622;0.0
ZELUGI;2021120623;0.0
ZELUGI;2021120700;0.0
ZELUGI;2021120701;0.4
ZELUGI;2021120702;0.2
ZELUGI;2021120703;0.2
ZELUGI;2021120704;0.0
ZELUGI;2021120705;0.0
ZELUGI;2021120706;0.0
ZELUGI;2021120707;0.0
ZELUGI;2021120708;0.0
ZELUGI;2021120709;0.0
ZELUGI;2021120710;0.0
ZELUGI;2021120711;0.0
ZELUGI;2021120712;0.0
ZELUGI;2021120713;0.0
ZELUGI;2021120714;0.0
ZELUGI;2021120715;0.0
ZELUGI;2021120716;0.0
ZELUGI;2021120717;0.0
ZELUGI;2021120718;0.0
ZELUGI;2021120719;0.0
ZELUGI;2021120720;0.0
ZELUGI;2021120721;0.0
ZELUGI;2021120722;0.0
ZELUGI;2021120723;0.0
ZELUGI;2021120800;0.0
ZELUGI;2021120801;0.0
ZELUGI;2021120802;0.2
ZELUGI;2021120803;0.3
ZELUGI;2021120804;0.2
ZELUGI;2021120805;0.5
ZELUGI;2021120806;0.8
ZELUGI;2021120807;0.7
ZELUGI;2021120808;0.7
ZELUGI;2021120809;1.1
ZELUGI;2021120810;0.9
ZELUGI;2021120811;0.5
ZELUGI;2021120812;0.4
ZELUGI;2021120813;0.2
ZELUGI;2021120814;0.3
ZELUGI;2021120815;0.6
ZELUGI;2021120816;0.1
ZELUGI;2021120817;0.0
ZELUGI;2021120818;0.1
ZELUGI;2021120819;0.2
ZELUGI;2021120820;1.2
ZELUGI;2021120821;0.6
ZELUGI;2021120822;0.1
ZELUGI;2021120823;0.0
ZELUGI;2021120900;0.0
ZELUGI;2021120901;0.2
ZELUGI;2021120902;0.6
ZELUGI;2021120903;0.5
ZELUGI;2021120904;0.1
ZELUGI;2021120905;0.0
ZELUGI;2021120906;0.0
ZELUGI;2021120907;0.0
ZELUGI;2021120908;0.0
ZELUGI;2021120909;0.0
ZELUGI;2021120910;0.0
ZELUGI;2021120911;0.0
ZELUGI;2021120912;0.0
ZELUGI;2021120913;0.0
ZELUGI;2021120914;0.0
ZELUGI;2021120915;0.0
ZELUGI;2021120916;0.0
ZELUGI;2021120917;0.0
ZELUGI;2021120918;0.0
ZELUGI;2021120919;0.0
ZELUGI;2021120920;0.0
ZELUGI;2021120921;0.0
ZELUGI;2021120922;0.0
ZELUGI;2021120923;0.0
ZELUGI;2021121000;0.0
ZELUGI;2021121001;0.0
ZELUGI;2021121002;0.0
ZELUGI;2021121003;0.0
ZELUGI;2021121004;0.0
ZELUGI;2021121005;0.0
ZELUGI;2021121006;0.0
ZELUGI;2021121007;0.0
ZELUGI;2021121008;0.0
ZELUGI;2021121009;0.0
ZELUGI;2021121010;0.4
ZELUGI;2021121011;1.2
ZELUGI;2021121012;0.6
ZELUGI;2021121013;0.1
ZELUGI;2021121014;0.2
ZELUGI;2021121015;0.1
ZELUGI;2021121016;0.2
ZELUGI;2021121017;0.1
ZELUGI;2021121018;0.0
ZELUGI;2021121019;0.0
ZELUGI;2021121020;0.0
ZELUGI;2021121021;0.1
ZELUGI;2021121022;0.0
ZELUGI;2021121023;0.0
ZELUGI;2021121100;0.0
ZELUGI;2021121101;0.0
ZELUGI;2021121102;0.0
ZELUGI;2021121103;0.0
ZELUGI;2021121104;0.0
ZELUGI;2021121105;0.0
ZELUGI;2021121106;0.0
ZELUGI;2021121107;0.0
ZELUGI;2021121108;0.0
ZELUGI;2021121109;0.0
ZELUGI;2021121110;0.0
ZELUGI;2021121111;0.0
ZELUGI;2021121112;0.0
ZELUGI;2021121113;0.0
ZELUGI;2021121114;0.0
ZELUGI;2021121115;0.0
ZELUGI;2021121116;0.1
ZELUGI;2021121117;0.1
ZELUGI;2021121118;0.0
ZELUGI;2021121119;0.0
ZELUGI;2021121120;0.0
ZELUGI;2021121121;0.0
ZELUGI;2021121122;0.0
ZELUGI;2021121123;0.0
ZELUGI;2021121200;0.0
ZELUGI;2021121201;0.0
ZELUGI;2021121202;0.0
ZELUGI;2021121203;0.0
ZELUGI;2021121204;0.0
ZELUGI;2021121205;0.0
ZELUGI;2021121206;0.0
ZELUGI;2021121207;0.0
ZELUGI;2021121208;0.0
ZELUGI;2021121209;0.0
ZELUGI;2021121210;0.0
ZELUGI;2021121211;0.0
ZELUGI;2021121212;0.0
ZELUGI;2021121213;0.0
ZELUGI;2021121214;0.0
ZELUGI;2021121215;0.0
ZELUGI;2021121216;0.0
ZELUGI;2021121217;0.0
ZELUGI;2021121218;0.0
ZELUGI;2021121219;0.0
ZELUGI;2021121220;0.0
ZELUGI;2021121221;0.0
ZELUGI;2021121222;0.0
ZELUGI;2021121223;0.0
ZELUGI;2021121300;0.0
ZELUGI;2021121301;0.0
ZELUGI;2021121302;0.0
ZELUGI;2021121303;0.0
ZELUGI;2021121304;0.0
ZELUGI;2021121305;0.0
ZELUGI;2021121306;0.0
ZELUGI;2021121307;0.0
ZELUGI;2021121308;0.0
ZELUGI;2021121309;0.0
ZELUGI;2021121310;0.0
ZELUGI;2021121311;0.0
ZELUGI;2021121312;0.0
ZELUGI;2021121313;0.0
ZELUGI;2021121314;0.0
ZELUGI;2021121315;0.0
ZELUGI;2021121316;0.0
ZELUGI;2021121317;0.0
ZELUGI;2021121318;0.0
ZELUGI;2021121319;0.0
ZELUGI;2021121320;0.0
ZELUGI;2021121321;0.0
ZELUGI;2021121322;0.0
ZELUGI;2021121323;0.0
ZELUGI;2021121400;0.0
ZELUGI;2021121401;0.0
ZELUGI;2021121402;0.0
ZELUGI;2021121403;0.0
ZELUGI;2021121404;0.0
ZELUGI;2021121405;0.0
ZELUGI;2021121406;0.0
ZELUGI;2021121407;0.0
ZELUGI;2021121408;0.0
ZELUGI;2021121409;0.0
ZELUGI;2021121410;0.0
ZELUGI;2021121411;0.0
ZELUGI;2021121412;0.0
ZELUGI;2021121413;0.0
ZELUGI;2021121414;0.0
ZELUGI;2021121415;0.0
ZELUGI;2021121416;0.0
ZELUGI;2021121417;0.0
ZELUGI;2021121418;0.0
ZELUGI;2021121419;0.0
ZELUGI;2021121420;0.0
ZELUGI;2021121421;0.0
