 

stn;time;rre150h0
ZELUUM;2023110215;-
ZELUUM;2023110216;1.9
ZELUUM;2023110217;0.0
ZELUUM;2023110218;0.0
ZELUUM;2023110219;0.0
ZELUUM;2023110220;0.0
ZELUUM;2023110221;0.0
ZELUUM;2023110222;0.4
ZELUUM;2023110223;0.1
ZELUUM;2023110300;0.0
ZELUUM;2023110301;0.0
ZELUUM;2023110302;0.0
ZELUUM;2023110303;0.0
ZELUUM;2023110304;0.5
ZELUUM;2023110305;1.4
ZELUUM;2023110306;0.4
ZELUUM;2023110307;0.1
ZELUUM;2023110308;0.1
ZELUUM;2023110309;0.0
ZELUUM;2023110310;0.5
ZELUUM;2023110311;0.0
ZELUUM;2023110312;0.1
ZELUUM;2023110313;0.0
ZELUUM;2023110314;0.0
ZELUUM;2023110315;0.0
ZELUUM;2023110316;0.0
ZELUUM;2023110317;0.0
ZELUUM;2023110318;0.0
ZELUUM;2023110319;0.0
ZELUUM;2023110320;0.0
ZELUUM;2023110321;0.0
ZELUUM;2023110322;0.0
ZELUUM;2023110323;0.1
ZELUUM;2023110400;0.1
ZELUUM;2023110401;0.0
ZELUUM;2023110402;0.0
ZELUUM;2023110403;0.0
ZELUUM;2023110404;0.0
ZELUUM;2023110405;0.0
ZELUUM;2023110406;0.0
ZELUUM;2023110407;0.0
ZELUUM;2023110408;0.0
ZELUUM;2023110409;0.0
ZELUUM;2023110410;0.0
ZELUUM;2023110411;0.0
ZELUUM;2023110412;0.0
ZELUUM;2023110413;0.0
ZELUUM;2023110414;0.0
ZELUUM;2023110415;3.7
ZELUUM;2023110416;3.5
ZELUUM;2023110417;3.3
ZELUUM;2023110418;2.4
ZELUUM;2023110419;3.9
ZELUUM;2023110420;2.4
ZELUUM;2023110421;4.1
ZELUUM;2023110422;0.7
ZELUUM;2023110423;0.7
ZELUUM;2023110500;0.0
ZELUUM;2023110501;0.0
ZELUUM;2023110502;0.0
ZELUUM;2023110503;0.0
ZELUUM;2023110504;0.0
ZELUUM;2023110505;0.1
ZELUUM;2023110506;0.0
ZELUUM;2023110507;0.1
ZELUUM;2023110508;0.1
ZELUUM;2023110509;0.0
ZELUUM;2023110510;0.0
ZELUUM;2023110511;0.0
ZELUUM;2023110512;0.2
ZELUUM;2023110513;0.2
ZELUUM;2023110514;0.2
ZELUUM;2023110515;0.6
ZELUUM;2023110516;0.2
ZELUUM;2023110517;0.0
ZELUUM;2023110518;0.0
ZELUUM;2023110519;0.0
ZELUUM;2023110520;0.0
ZELUUM;2023110521;0.0
ZELUUM;2023110522;0.0
ZELUUM;2023110523;0.0
ZELUUM;2023110600;0.0
ZELUUM;2023110601;0.0
ZELUUM;2023110602;0.0
ZELUUM;2023110603;0.0
